Rank,City,Country,Government_Digitization,Connectivity,Digital_Banking,Digitized_mobility,Digitized_social_habits,Education,Privacy_and_security,Internationalism,Gender_Equality,LGBT_Equality,Environmental_Action,MentalHealth_Access,Healthcare,Safety,Protest_Rights,Esports,Concerts,Entreprenerial_Spirit,Co-working_spaces,Affordability,Social_Entrepreneurship,AI_Industry,Total
90,Cape Town,South Africa,58.29,53.31,21.63,24.11,16.12,32.46,22.72,14.76,61.64,44.60,53.88,35.36,16.28,5.09,81.80,1.22,47.21,24.18,20.71,88.98,39.28,30.51,30.50
91,Dubai,United Arab Emirates,86.65,72.16,26.89,37.79,73.71,2.08,27.26,100.00,15.96,1.00,45.89,71.80,52.90,66.80,11.07,6.54,38.62,35.53,53.00,73.86,40.50,45.09,30.32
92,Johannesburg,South Africa,58.29,53.78,21.63,11.18,16.12,30.67,22.72,22.27,61.64,53.92,31.88,35.36,16.00,6.02,81.80,1.46,56.84,11.80,13.48,87.59,21.86,27.94,29.20
93,Medellín,Colombia,62.78,24.36,4.93,30.30,45.46,3.25,36.97,11.53,51.13,64.56,62.92,61.29,49.97,33.40,38.11,1.10,40.56,9.51,25.88,97.27,26.76,11.45,28.53
94,Moscow,Russia,81.38,58.42,17.94,36.21,27.66,59.40,26.43,36.35,39.81,4.36,64.33,24.19,61.30,6.90,11.22,38.72,58.80,26.70,16.31,88.42,49.62,50.58,28.38
95,Kuala Lumpur,Malaysia,68.06,68.52,26.07,43.30,52.92,48.53,35.73,37.52,35.72,1.87,55.93,28.80,48.95,64.92,40.17,7.32,27.81,39.45,66.31,90.15,39.48,25.59,27.90
96,Bogotá,Colombia,62.78,23.99,4.93,16.54,45.46,31.02,36.97,2.84,51.13,55.00,63.90,61.29,49.68,1.00,38.11,1.33,47.02,9.48,32.10,97.27,32.40,15.95,27.74
97,Beijing,China,61.73,29.52,21.82,60.27,45.15,20.54,1.00,18.08,34.51,21.49,30.50,50.31,66.39,64.26,1.00,20.93,66.40,62.32,28.03,88.52,54.85,67.82,26.19
98,Monterrey,Mexico,61.85,39.49,10.38,1.01,44.35,30.66,29.04,3.70,47.90,34.51,53.69,63.57,45.68,28.89,42.38,1.60,47.73,21.26,17.85,93.06,23.52,13.64,24.77
99,Doha,Qatar,67.33,62.63,24.32,1.00,100.00,41.23,33.78,88.01,10.70,1.43,50.65,73.33,73.41,77.57,15.30,2.48,1.00,11.65,7.46,78.19,20.27,1.00,24.33
100,St Petersburg,Russia,81.38,57.52,17.94,28.05,27.66,50.67,26.43,27.57,39.81,8.19,80.93,24.20,61.30,35.46,11.22,6.47,47.02,19.05,5.12,91.41,23.60,10.00,23.47
101,Manila,Philippines,56.39,36.65,10.82,28.64,40.88,22.25,26.58,2.58,79.43,11.41,58.66,37.37,18.69,36.71,48.59,6.80,42.50,27.15,55.64,91.77,28.77,11.45,20.60
102,Lima,Peru,55.46,22.53,8.00,31.40,52.89,4.50,34.73,1.00,47.49,15.96,51.37,62.35,41.98,14.13,56.94,1.61,44.19,6.18,21.21,90.50,26.79,18.82,19.71
103,Bangkok,Thailand,56.95,65.11,8.52,33.29,52.36,28.42,24.79,5.82,40.22,36.13,44.80,35.50,51.77,13.95,19.61,13.60,52.55,27.54,40.05,81.84,35.57,17.14,19.50
104,Istanbul,Turkey,66.99,44.45,20.53,33.27,40.48,41.20,30.36,7.85,10.30,5.45,44.76,65.09,60.26,26.66,7.22,4.58,54.00,34.26,22.98,92.95,23.40,39.53,18.22
105,Manama,Bahrain,83.77,50.55,18.29,5.83,87.67,2.67,30.67,89.85,9.89,3.28,40.27,66.59,55.87,20.05,11.44,2.60,21.75,6.34,10.25,80.75,10.64,10.00,17.21
106,New Delhi,India,40.63,43.21,5.83,30.81,4.61,34.78,30.36,28.17,25.26,4.58,1.00,1.00,1.00,53.80,69.26,1.71,44.19,24.74,80.72,100.00,62.04,34.08,15.38
107,Jakarta,Indonesia,32.52,36.27,1.44,15.17,28.88,29.71,6.56,5.88,35.77,4.58,38.52,30.10,6.71,10.02,46.49,2.92,42.50,20.74,43.13,90.74,47.08,30.51,11.11
108,Muscat,Oman,62.34,40.52,24.02,14.64,31.17,1.00,4.69,58.63,1.00,9.57,42.01,74.32,63.24,35.04,17.51,1.47,12.81,1.49,2.95,85.45,1.00,1.00,10.43
109,Casablanca,Morocco,31.64,40.38,8.79,17.39,16.13,17.59,19.83,2.42,1.81,8.70,60.75,61.84,29.61,18.57,32.00,1.16,12.81,13.46,7.25,93.48,10.64,8.13,5.81
110,Lagos,Nigeria,1.00,1.00,1.00,23.91,1.00,2.20,15.81,67.87,7.47,2.84,24.12,20.11,1.88,11.21,36.31,1.00,6.23,1.00,27.74,94.43,31.60,28.95,1.00
